,class_names,class_date,class_link
0,1. April Current Affairs - Part 1,"31 May, 2024",https://us06web.zoom.us/rec/share/W0DELI-Zn9cmjzOPsdhnKvI5Vb5QZJHz8W7k_szS1BT2uqAtj-fKqW_SooytQ-zW.q3Bjx7-SCnU36f5Y
1,2. April Current Affairs - Part 2,"31 May, 2024",https://us06web.zoom.us/rec/share/foO_C8fyCtxuQou1NbIp8rD16mfVAaOTfW7nPqeD0HeGlE1Iu8Eva3xejhe5rExI.q2M53Dok0jeroeR_
2,3. Current Affairs revision - Part 3,"15 Jul, 2024",https://us06web.zoom.us/rec/share/8L1wMiI3EwGllrs2J5zXu5PlBkH-qaS8Wb31qXKvVRe7-cLRFKzfKDPORWOVwspG.z8W-T6qMVvSRP9wi
